,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 min off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worm 1,,worm 2,,worm 3 ,,worm 4 ,,worm 5 ,,worm 6 ,,worm 7 ,,worm 8,,worm 9,,worm 10,,worm 11,,worm 12,,worm 13,,worm 14,,worm 15,
243.0794702,650.7119206,448.6092716,483.97351,423.7748345,567.3178808,39.33774838,130.8278146,15.34768216,45.59602653,6.456953681,26.92052984,45.09933779,74.70198679,264.7829604,413.2866002,90.0242653,100.7009976,516.8023726,646.9129145,430.4179024,543.1059585,48.19088703,189.1722836,7.231059586,36.78619574,159.8112699,238.0425991,-1,-1
,,497.781457,545.9105961,579.2880795,657.3675497,137.9304636,148.2615894,64.07284772,90.34768216,62.83112587,87.21854309,77.384106,116.4238411,,,176.6513885,246.0986789,794.1062281,812.6449178,789.2046374,804.103532,207.1771367,246.1957401,134.6238878,187.2310596,274.8287948,291.9115665,,
,,555.2483444,578.7417219,662.0364239,690.7450332,336.2086093,358.0629139,96.85430467,130.9271524,104.6523179,241.4900663,121.3410596,151.192053,,,258.4254516,325.5432731,,,829.8732812,853.265031,258.5710434,412.7527635,207.2256673,252.7473713,716.3116743,836.958749,,
,,618.97351,641.2251656,,,400.7284769,420.5463577,144.089404,209.5033113,286.5397351,334.6688742,253.3609272,281.2251656,,,332.5802103,346.4599623,,,880.5392289,900,,,277.5465085,284.4863845,854.5268266,893.2057158,,
,,656.6225166,677.4834437,,,426.5066226,440.4635762,218.6423841,248.7913908,726.4072848,734.9503312,599.5529802,778.6092716,,,502.146131,542.6691831,,,,,,,292.5424643,329.5227824,,,,
,,825.7450332,848.9403974,,,780.2980133,793.4105961,339.7350994,381.6556292,,,,,,,569.1183607,593.7719062,,,,,,,482.0544621,492.1488272,,,,
,,,,,,,,393.9238411,422.5331126,,,,,,,628.7624697,669.4796441,,,,,,,530.6821246,597.0719871,,,,
,,,,,,,,587.1854305,673.9072848,,,,,,,,,,,,,,,726.5516312,740.5284443,,,,
15 min on 5 off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worm 1,,worm 2,,worm 3,,worm 4,,worm 5,,worm 6,,worm 7,,worm 8 ,,worm 9 ,,worm 10 ,,worm 11 ,,worm 12,,worm 13,,worm 14,,worm 15,
33.97972673,54.275011,433.1423534,437.8360511,915.540236,924.7499029,28.75716173,61.81137063,0,0,933.3717187,973.6721759,904.5016991,925.01117,21.17490383,28.96567032,0,0,1062.708516,1070.873573,1051.251097,1200,0,0,991.000878,1200,263.7540693,294.9171353,-1,-1
1111.751862,1125.533704,925.01117,952.9667546,1143.234553,1182.489942,448.1489643,455.8175407,,,985.559831,999.341673,1048.263946,1075.762313,462.7848476,481.2962415,,,,,,,,,,,,,,
,,1071.777989,1087.911235,,,703.9224328,717.2763332,,,,,,,1035.250219,1069.556629,,,,,,,,,,,,,,
,,,,,,915.7361864,933.5023523,,,,,,,,,,,,,,,,,,,,,,
5 on 5 off ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worm 1,,worm 2,,worm 3,,worm 4,,worm 5,,worm 6,,worm 7,,worm 8 ,,worm 9 ,,worm 10 ,,worm 11 ,,worm 12,,worm 13,,worm 14,,worm 15,
1723.21271,1748.102383,220.3731185,235.5098579,0,0,0,0,369.9651264,404.8823017,0,0,322.3626853,460.7890148,0,0,57.17092338,93.64767518,19.97380485,92.79633268,10.01964637,47.28225278,0,0,0,0,53.24165029,109.0373281,83.8244647,99.47000212
,,374.8692241,618.3740192,,,,,,,,,1055.167931,1107.497291,,,222.4623445,240.7989522,123.5101506,192.5343811,211.3948919,225.2128356,,,,,1238.996054,1253.660675,400.9590235,414.3635571
,,,,,,,,,,,,1394.37812,1426.741914,,,366.8316832,406.543263,202.4230517,220.7596595,276.4243615,315.4551408,,,,,1403.989478,1460.675142,476.8744551,512.3801221
,,,,,,,,,,,,,,,,532.0060267,563.2587172,,,339.4532932,377.9380112,,,,,,,788.64771,1800
,,,,,,,,,,,,,,,,720.6979807,1800,,,1472.972381,1515.124945,,,,,,,,
5 on 2 off ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worm 1,,worm 2,,worm 3,,worm 4,,worm 5,,worm 6,,worm 7,,worm 8 ,,worm 9 ,,worm 10 ,,worm 11 ,,worm 12,,worm 13,,worm 14,,worm 15,
63.75,107.0394737,412.3174603,460.3809524,1277.339814,1355.48829,0,0,123.6184211,182.9605263,160.6578947,222.3684211,0,0,30.72368421,34.07894737,300.2611534,314.7551687,317.562568,336.3656148,1.973684211,25.65789474,835.2406134,840,1828.152726,1860,312.6659412,420,-1,-1
225,258.8815789,999.1447368,1042.5,,,,,400.9960682,424.259502,,,,,50.46052632,100.1315789,757.5039662,840,722.0306716,735.10312,,,840,853.145847,,,420,435.9553513,,
591.2975098,637.7588467,1170.556783,1191.568714,,,,,,,,,,,104.8026316,139.8684211,840,864.7874428,1253.236815,1260,,,1093.499019,1123.976455,,,986.7625899,997.0961413,,
1029.802632,1088.815789,1431.184269,1440,,,,,,,,,,,1337.738902,1361.486989,,,1260,1377.887601,,,,,,,1313.990816,1375.132298,,
1108.75,1121.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154.184711,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,